N,h,max_error,order,cpu_ms
5,0.166667,0.0829309,nan,0.03742
10,0.0909091,0.0268467,1.62716,0.06857
20,0.047619,0.00730886,1.87703,0.135205
40,0.0243902,0.00191689,1.93088,0.27038
80,0.0123457,0.000491209,1.96436,0.55223
160,0.00621118,0.000124389,1.98148,1.08093
320,0.00311526,3.12905e-05,1.99106,2.19263
640,0.00156006,7.84702e-06,1.99551,4.37578
1280,0.00078064,1.96482e-06,1.99775,8.91244
2560,0.000390472,4.91588e-07,1.99887,17.8296
5120,0.000195274,1.22948e-07,1.9994,34.7796
10240,9.76467e-05,3.07499e-08,1.9994,68.8837
20480,4.88257e-05,7.68924e-09,1.99967,139.096
